blnid,flnid,bdid,fdid,bpid,fpid,bx,by,bh,fx,fy,fh,bx_1,by_1,bh_1,lcnt,lno,lanetype,limitvel,lanecfgfg,blid1,blid2,blid3,blid4,flid1,flid2,flid3,flid4
1.0,68.0,202.0,3032.0,96478.0,96546.0,6828.42453462557,-8233.122546137049,-62.458771053834425,6834.093840461136,-8245.25985457522,-62.48860031120603,6828.50892972228,-8233.303873961579,-62.45809664343915,0.0,0.0,0.0,25.0,0.0,202.0,0.0,0.0,0.0,1935.0,0.0,0.0,0.0
69.0,202.0,2587.0,202.0,94480.0,96478.0,6817.166170965992,-8209.019351173596,-62.36450474889034,6828.42453462557,-8233.122546137049,-62.458771053834425,6817.250573919839,-8209.200687546629,-62.36582952358049,2.0,2.0,0.0,25.0,0.0,300.0,12498.0,0.0,0.0,1.0,0.0,0.0,0.0
203.0,300.0,156.0,2587.0,96547.0,94480.0,6808.903842597228,-8191.331010542692,-62.39382412123314,6817.166170965992,-8209.019351173596,-62.36450474889034,6808.988239363658,-8191.512352137102,-62.39114827373987,0.0,0.0,0.0,25.0,0.0,467.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0
301.0,467.0,1039.0,156.0,94615.0,96547.0,6786.985516760444,-8175.282151840685,-62.43177715335651,6808.903842597228,-8191.331010542692,-62.39382412123314,6787.1658558191875,-8175.1977809280215,-62.43386025389282,2.0,2.0,0.0,25.0,0.0,555.0,7728.0,0.0,0.0,203.0,0.0,0.0,0.0
468.0,555.0,105.0,1039.0,96646.0,94615.0,6771.103272916457,-8182.681654655281,-62.40844329402216,6786.985516760444,-8175.282151840685,-62.43177715335651,6771.284610367066,-8182.597254129158,-62.407526863838484,0.0,0.0,0.0,25.0,0.0,570.0,0.0,0.0,0.0,301.0,5884.0,0.0,0.0
556.0,570.0,102.0,105.0,96735.0,96646.0,6768.385175866924,-8183.947532593326,-62.436192426217985,6771.103272916457,-8182.681654655281,-62.40844329402216,6768.566534920493,-8183.863133381006,-62.43427592604576,0.0,0.0,0.0,25.0,0.0,577.0,0.0,0.0,0.0,468.0,14669.0,0.0,0.0
571.0,577.0,101.0,102.0,96751.0,96735.0,6767.138635712743,-8184.5288707907475,-62.44062025712901,6768.385175866924,-8183.947532593326,-62.436192426217985,6767.31897605706,-8184.444501404197,-62.44170267657455,0.0,0.0,0.0,25.0,0.0,613.0,0.0,0.0,0.0,556.0,14632.0,0.0,0.0
578.0,613.0,2963.0,101.0,89801.0,96751.0,6760.667030792318,-8187.543108587399,-62.42164947183255,6767.138635712743,-8184.5288707907475,-62.44062025712901,6760.848357038321,-8187.458706903249,-62.42173266830923,1.0,1.0,0.0,25.0,1.0,616.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0
614.0,616.0,93.0,2963.0,96759.0,89801.0,6760.232032701785,-8187.746263910117,-62.42145078282874,6760.667030792318,-8187.543108587399,-62.42164947183255,6760.413369218293,-8187.66187330078,-62.4215339901657,0.0,0.0,0.0,25.0,0.0,681.0,14631.0,0.0,0.0,578.0,0.0,0.0,0.0
617.0,681.0,80.0,93.0,96763.0,96759.0,6748.631502921559,-8193.151536543539,-62.40314936289178,6760.232032701785,-8187.746263910117,-62.42145078282874,6748.8118342764365,-8193.067168673304,-62.40323113506247,0.0,0.0,0.0,25.0,0.0,850.0,0.0,0.0,0.0,614.0,0.0,0.0,0.0
682.0,850.0,2415.0,80.0,89838.0,96763.0,6744.553720987982,-8219.801729159062,-62.45630613050207,6748.631502921559,-8193.151536543539,-62.40314936289178,6744.469316724574,-8219.620389795455,-62.45698201252253,1.0,1.0,0.0,25.0,1.0,948.0,11646.0,0.0,0.0,617.0,14556.0,0.0,0.0
