bwlid,fwlid,blid,flid,blnid,flnid,bpid,fpid,bx,by,bh,fx,fy,fh,width,color,type
1.0,41.0,9866.0,9906.0,6154.0,14594.0,9892.0,9933.0,6762.281646416792,-8199.723065481008,-62.446088480451635,6759.37303062861,-8193.551306133671,-62.457034322692834,0.1,87.0,0.0
42.0,194.0,9907.0,10059.0,7232.0,7227.0,9934.0,10087.0,6787.326209312342,-8268.759017248794,-62.5882663057364,6798.542946516136,-8292.721099918295,-62.63747806077117,0.1,87.0,0.0
195.0,350.0,10060.0,10215.0,6640.0,6637.0,10088.0,10244.0,6804.550994300338,-8290.299504315246,-62.5947171865314,6793.243434346548,-8266.13712123046,-62.60414647117932,0.1,87.0,0.0
351.0,445.0,10216.0,10310.0,15217.0,6717.0,10245.0,10340.0,6817.923623059143,-8318.901099031325,-62.676424592289095,6811.186266592296,-8304.571748638415,-62.648459437250494,0.1,87.0,0.0
446.0,589.0,10311.0,10454.0,15943.0,16270.0,10341.0,10485.0,6786.495971340021,-8251.693064187091,-62.535166553679574,6776.267013890356,-8229.752517342358,-62.53180143160034,0.1,87.0,0.0
590.0,731.0,10455.0,10596.0,7310.0,7429.0,10486.0,10628.0,6770.428591578098,-8232.470914284024,-62.51013077404332,6780.548831083734,-8254.21650963819,-62.561126878052164,0.1,87.0,0.0
732.0,777.0,10597.0,10642.0,16735.0,12125.0,10629.0,10675.0,6760.276918798248,-8219.854504723795,-62.44901177443444,6753.378615917422,-8223.08973111567,-62.438899546469656,0.1,87.0,0.0
778.0,822.0,10643.0,10687.0,12861.0,13233.0,10676.0,10721.0,6756.362749296228,-8231.616244691835,-62.39611400985632,6763.152656751485,-8228.415006873374,-62.450154373378155,0.1,87.0,0.0
823.0,866.0,10688.0,10731.0,13682.0,13680.0,10722.0,10766.0,6796.468147964011,-8298.880078759215,-62.61032031271952,6789.9190574699705,-8301.976660448116,-62.648399477734074,0.1,87.0,0.0
867.0,909.0,10732.0,10774.0,13496.0,13495.0,10767.0,10810.0,6792.486370008334,-8307.914997520642,-62.62890408106705,6798.9796096464925,-8304.82638462853,-62.629775631861776,0.1,87.0,0.0
910.0,1088.0,10775.0,10953.0,14361.0,14366.0,10811.0,10990.0,6784.296290312045,-8301.396300002292,-62.5386597862157,6771.6196073779165,-8274.135890782161,-62.60958920685289,0.1,87.0,0.0
1089.0,1220.0,10954.0,11085.0,3349.0,3320.0,10991.0,11123.0,6749.958683039057,-8243.02593944936,-62.48514911466009,6759.30071867679,-8262.99990562836,-62.56301728113567,0.1,87.0,0.0
1221.0,1353.0,11086.0,11218.0,1081.0,1078.0,11124.0,11257.0,6765.227177376966,-8260.44281451871,-62.56896797935997,6755.848770007906,-8240.395556678335,-62.49896550903077,0.1,87.0,0.0
1354.0,1385.0,11219.0,11250.0,3607.0,3634.0,11258.0,11290.0,6737.824586864381,-8216.964948369872,-62.46052338141726,6740.114666159633,-8221.881828674821,-62.475311034543665,0.1,87.0,0.0
1386.0,1506.0,11251.0,11371.0,727.0,14557.0,11291.0,11412.0,6742.169205438706,-8210.99900776143,-62.471389079327764,6749.293262419669,-8194.581504888445,-62.42269586104203,0.1,87.0,0.0
1507.0,1653.0,11372.0,11518.0,3696.0,3563.0,11413.0,11560.0,6746.773000872609,-8188.5923484235955,-62.41929883193461,6734.2129322463,-8209.030159441973,-62.44444046261469,0.1,87.0,0.0
1654.0,1697.0,11519.0,11562.0,3773.0,3737.0,11561.0,11605.0,6765.3015013395325,-8179.937306048954,-62.43875142071329,6758.607116490716,-8183.065665219812,-62.453691587291814,0.1,87.0,0.0
1698.0,1741.0,11563.0,11606.0,616.0,613.0,11606.0,11650.0,6761.191281799158,-8188.994660676676,-62.42007808615335,6767.799461142695,-8185.908849101632,-62.460101247301736,0.1,87.0,0.0
1742.0,1969.0,11607.0,11834.0,4045.0,4042.0,11651.0,11879.0,6813.455965301019,-8189.362691649161,-62.374142073455005,6784.939581303969,-8170.803435563628,-62.46983265878862,0.1,87.0,0.0
1970.0,1998.0,11835.0,11863.0,17094.0,14821.0,11880.0,11909.0,6822.194911726951,-8247.203963109525,-62.5573950919802,6826.591019781492,-8245.125649149977,-62.541395365647986,0.1,87.0,0.0
1999.0,2041.0,11864.0,11906.0,10976.0,17211.0,11910.0,11953.0,6795.355175952951,-8259.709582565602,-62.598024646063095,6801.798791925409,-8256.693898390991,-62.59496458239073,0.1,87.0,0.0
2042.0,2084.0,11907.0,11949.0,17209.0,11384.0,11954.0,11997.0,6799.228832878922,-8250.772700464315,-62.56852357099888,6792.790187321037,-8253.78827191674,-62.587588584007335,0.1,87.0,0.0
2085.0,2104.0,11950.0,11969.0,14939.0,14957.0,11998.0,12018.0,6843.551414621694,-8277.012228099318,-62.62607618434458,6840.4598661626005,-8278.404134172892,-62.63057734546646,0.1,87.0,0.0
2105.0,2125.0,11970.0,11990.0,15031.0,13921.0,12019.0,12040.0,6842.832950687877,-8284.487023177518,-62.64806072952888,6846.0920440990285,-8283.020975742249,-62.63464232775004,0.1,87.0,0.0
2126.0,2155.0,11991.0,12020.0,14816.0,17466.0,12041.0,12071.0,6824.170661770932,-8239.130700391475,-62.47101931874249,6819.617774336919,-8241.270954629363,-62.488931653660984,0.1,87.0,0.0
2156.0,2191.0,12021.0,12056.0,18659.0,12524.0,12072.0,12108.0,6803.647992154046,-8209.485690003927,-62.35768115501378,6809.095936360615,-8206.893609072054,-62.41013881362369,0.1,87.0,0.0
2192.0,2230.0,12057.0,12095.0,14752.0,11936.0,12109.0,12148.0,6806.5394503044,-8198.143125197148,-62.416099603747625,6800.581857654473,-8200.956725826585,-62.404383769945525,0.1,87.0,0.0
2231.0,2256.0,12096.0,12121.0,15122.0,13784.0,12149.0,12175.0,6814.643083336855,-8290.395726071298,-62.59561214560381,6810.734078400934,-8292.224892120075,-62.615829186658175,0.1,87.0,0.0
2257.0,2282.0,12122.0,12147.0,13380.0,15072.0,12176.0,12202.0,6813.208627140776,-8298.228870656229,-62.64831991530309,6817.178902641577,-8296.364501281938,-62.664122135604885,0.1,87.0,0.0
2283.0,2324.0,12148.0,12189.0,16588.0,12670.0,12203.0,12245.0,6777.554951772387,-8221.67428831992,-62.435696647228724,6783.912578166986,-8218.711212528275,-62.43861342479386,0.1,87.0,0.0
2325.0,2365.0,12190.0,12230.0,17949.0,11795.0,12246.0,12287.0,6780.81333879935,-8210.223020525234,-62.368330536414305,6774.547832311322,-8213.14526336769,-62.4364579239882,0.1,87.0,0.0
2366.0,2395.0,12231.0,12260.0,7607.0,18974.0,12288.0,12318.0,6758.761629537465,-8207.42879238772,-62.41032192051307,6760.902874837408,-8211.983570040142,-62.46848342546582,0.1,87.0,0.0
2396.0,2438.0,12261.0,12303.0,16070.0,14406.0,12319.0,12362.0,6778.460564858645,-8260.506755934604,-62.509094155945604,6772.005573062344,-8263.504592495243,-62.55614434383688,0.1,87.0,0.0
2439.0,2480.0,12304.0,12345.0,11093.0,16147.0,12363.0,12405.0,6774.603302028882,-8269.415253963762,-62.58860202927053,6780.970404639122,-8266.423029629766,-62.58146565132847,0.1,87.0,0.0
2481.0,2575.0,12346.0,12440.0,7015.0,15287.0,12406.0,12501.0,6805.278015156015,-8307.140481500992,-62.639518494972435,6811.999047149505,-8321.508071011824,-62.69251597013226,0.1,87.0,0.0
2576.0,2795.0,12441.0,12660.0,2731.0,2904.0,12502.0,12722.0,6784.916192247729,-8317.915326879973,-62.659952400166276,6812.422952859166,-8331.246460172313,-62.70674760406928,0.1,87.0,0.0
